[F2] training env filtered to 2160/2880 chronics (every 4th id held out for evaluation)
Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[F2] training env filtered to 2160/2880 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 2160/2880 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 2160/2880 chronics (every 4th id held out for evaluation)
[F2] training env filtered to 2160/2880 chronics (every 4th id held out for evaluation)
[A5] bus36-M has stochastic exogenous events -> gate evaluation is NOT a deterministic function of the tree; disabling the cached-incumbent shortcut and re-evaluating each time.
[DTPO] gate eval on 40 training-side chronics (of 2880); overlap with the held-out pool = 0 (must be 0): ids=[0, 73, 146, 221, 294, 368, 442, 516, 589, 664, 737, 810]...
[DTPO] it=1/150 step=9999 J_new=0.9248 kept mode=full gate=accept cand=25.30% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=2/150 step=19998 J_new=0.3967 kept mode=full gate=revert(1) cand=9.60% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=3/150 step=29997 J_new=0.3299 kept mode=full gate=revert(2) cand=9.63% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=4/150 step=39996 J_new=0.4473 kept mode=full gate=accept cand=25.30% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=5/150 step=49995 J_new=0.0039 kept mode=full gate=revert(1) cand=16.48% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=6/150 step=59994 J_new=-0.0020 revert mode=full gate=accept cand=25.30% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=7/150 step=69993 J_new=0.0055 kept mode=full gate=revert(1) cand=22.75% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=8/150 step=79992 J_new=-0.0135 revert mode=full gate=accept cand=25.30% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=9/150 step=89991 J_new=-0.0217 revert mode=full gate=accept cand=25.30% leaves=16 survival=25.30% best=25.30% std=29.7%
[DTPO] it=10/150 step=99990 J_new=0.6471 kept mode=full gate=revert(1) cand=10.46% leaves=16 survival=25.30% best=25.30% std=29.7%
